video_id,is_anomaly,class_name,start_time_sec,end_time_sec,description_summary
TR00530,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00531,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00532,true,fighting_or_violence,0.000,26.309,"A physical fight, assault, or violent confrontation occurs."
TR00533,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00534,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00535,true,fighting_or_violence,0.000,14.918,"A physical fight, assault, or violent confrontation occurs."
TR00536,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00537,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00538,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00539,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00540,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00541,true,fighting_or_violence,0.000,20.039,"A physical fight, assault, or violent confrontation occurs."
TR00542,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00543,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00544,true,fighting_or_violence,3.000,6.070,"A black SUV moves forward and turns left, running over a person who had fallen onto the snow-covered ground during a fight. As the vehicle moves over the individual, several bystanders frantically attempt to stop the SUV to prevent further injury. The collision is caused by the driver's reckless decision to operate the vehicle and turn into an area where a physical altercation was occurring and a pedestrian was lying incapacitated in the vehicle's path."
TR00545,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00546,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00547,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00548,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00549,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00550,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00551,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00552,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00553,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00554,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00555,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00556,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00557,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00558,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00559,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00560,true,fighting_or_violence,0.000,25.228,"A physical fight, assault, or violent confrontation occurs."
TR00561,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00562,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00563,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00564,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00565,true,fighting_or_violence,0.000,15.952,"A physical fight, assault, or violent confrontation occurs."
TR00566,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00567,true,fighting_or_violence,1.530,9.260,"A dark green SUV enters the frame from the right at high speed, driving off-road across a dirt and grass area. The vehicle slides and spins, kicking up a massive cloud of dust before colliding head-on with a tree in the center of the frame. After the impact, the driver continues to move forward, and the SUV exits the frame to the left while still engulfed in dust. The anomaly was caused by the driver losing control of the vehicle and failing to maintain the roadway, leading to an erratic off-road trajectory and the subsequent collision."
TR00568,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00569,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00570,true,fighting_or_violence,0.000,29.720,"A physical fight, assault, or violent confrontation occurs."
TR00571,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00572,true,fighting_or_violence,0.000,6.375,A physical conflict is visible from an aerial viewpoint.
TR00573,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00574,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00575,true,fighting_or_violence,0.000,28.212,"A physical fight, assault, or violent confrontation occurs."
TR00576,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00577,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00578,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00579,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00580,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00581,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00582,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00583,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00584,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00585,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00586,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00587,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00588,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00589,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00590,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00591,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00592,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00593,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00594,true,fighting_or_violence,0.000,19.087,"A physical fight, assault, or violent confrontation occurs."
TR00595,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00596,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00597,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00598,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00599,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00600,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00601,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00602,true,fighting_or_violence,0.970,1.870,"A red truck navigating a sharp curve completely loses its balance and flips over onto its side, colliding violently with the guardrail. The impact causes the vehicle's cargo, consisting of numerous white and yellow sacks, to spill across both lanes of the roadway and the adjacent area, kicking up a cloud of dust. This anomaly was caused by the truck taking the curve at an unsafe speed or a sudden shift in its heavy load, which compromised the vehicle's center of gravity and made the rollover inevitable."
TR00603,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00604,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00605,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00606,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00607,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00608,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00609,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00610,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00611,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00612,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00613,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00614,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00615,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00616,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00617,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00618,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00619,true,fighting_or_violence,0.000,10.055,"A physical fight, assault, or violent confrontation occurs."
TR00620,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00621,true,fighting_or_violence,0.000,5.792,A physical conflict is visible from an aerial viewpoint.
TR00622,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00623,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00624,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00625,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00626,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00627,true,fighting_or_violence,0.000,30.000,"A physical fight, assault, or violent confrontation occurs."
TR00628,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR00629,true,fighting_or_violence,0.000,5.834,A physical conflict is visible from an aerial viewpoint.
TR02757,true,fighting_or_violence,14.660,17.730,"A black SUV moves forward and turns left, running over a person who had fallen onto the snow-covered ground during a fight. As the vehicle moves over the individual, several bystanders frantically attempt to stop the SUV to prevent further injury. The collision is caused by the driver's reckless decision to operate the vehicle and turn into an area where a physical altercation was occurring and a pedestrian was lying incapacitated in the vehicle's path."
TR02767,true,fighting_or_violence,9.000,12.000,"A motorcycle carrying two passengers collides with a uniformed individual who steps directly into its path near a building entrance, causing the riders to be thrown to the ground and the motorcycle to fall. The incident immediately triggers a physical altercation between the motorcycle riders and the uniformed man. The root cause of the collision is the pedestrian's failure to yield the right-of-way, as he stepped into the trajectory of the moving vehicle without ensuring the path was clear."
TR02777,true,fighting_or_violence,1.530,9.260,"A dark green SUV enters the frame from the right at high speed, driving off-road across a dirt and grass area. The vehicle slides and spins, kicking up a massive cloud of dust before colliding head-on with a tree in the center of the frame. After the impact, the driver continues to move forward, and the SUV exits the frame to the left while still engulfed in dust. The anomaly was caused by the driver losing control of the vehicle and failing to maintain the roadway, leading to an erratic off-road trajectory and the subsequent collision."
TR02786,true,fighting_or_violence,0.970,1.870,"A red truck navigating a sharp curve completely loses its balance and flips over onto its side, colliding violently with the guardrail. The impact causes the vehicle's cargo, consisting of numerous white and yellow sacks, to spill across both lanes of the roadway and the adjacent area, kicking up a cloud of dust. This anomaly was caused by the truck taking the curve at an unsafe speed or a sudden shift in its heavy load, which compromised the vehicle's center of gravity and made the rollover inevitable."
